Gender,Event M/W,Location,Year,Medal,Name,Nationality,Result,Event,Time_Cleaned,MixMatch
M,100M Men,Atlanta,1996,B,Ato BOLDON,TTO,9.9,100M,9.9,MAtlanta1996B100M
M,100M Men,Moscow,1980,G,Allan WELLS,GBR,10.25,100M,10.25,MMoscow1980G100M
M,100M Men,Moscow,1980,S,Silvio LEONARD SARRIA,CUB,10.25,100M,10.25,MMoscow1980S100M
M,100M Men,Moscow,1980,B,Peter PETROV,BUL,10.39,100M,10.39,MMoscow1980B100M
M,100M Men,Munich,1972,G,Valery BORZOV,URS,10.14,100M,10.14,MMunich1972G100M
M,100M Men,Munich,1972,S,Robert TAYLOR,USA,10.24,100M,10.24,MMunich1972S100M
M,100M Men,Munich,1972,B,Lennox MILLER,JAM,10.33,100M,10.33,MMunich1972B100M
M,100M Men,Tokyo,1964,G,Bob HAYES,USA,10,100M,10,MTokyo1964G100M
M,100M Men,Tokyo,1964,S,Enrique FIGUEROLA,CUB,10.2,100M,10.2,MTokyo1964S100M
M,100M Men,Tokyo,1964,B,Harry JEROME,CAN,10.2,100M,10.2,MTokyo1964B100M
M,100M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,10.5,100M,10.5,MMelbourne / Stockholm1956G100M
M,100M Men,Melbourne / Stockholm,1956,S,Thane BAKER,USA,10.5,100M,10.5,MMelbourne / Stockholm1956S100M
M,100M Men,Melbourne / Stockholm,1956,B,Hector HOGAN,AUS,10.6,100M,10.6,MMelbourne / Stockholm1956B100M
M,100M Men,London,1948,G,Harrison DILLARD,USA,10.3,100M,10.3,MLondon1948G100M
M,100M Men,London,1948,S,Barney EWELL,USA,10.4,100M,10.4,MLondon1948S100M
M,100M Men,London,1948,B,Lloyd LABEACH,PAN,10.6,100M,10.6,MLondon1948B100M
M,100M Men,Los Angeles,1932,G,Eddie TOLAN,USA,10.3,100M,10.3,MLos Angeles1932G100M
M,100M Men,Los Angeles,1932,S,Ralph METCALFE,USA,10.3,100M,10.3,MLos Angeles1932S100M
M,100M Men,Los Angeles,1932,B,Arthur JONATH,GER,10.4,100M,10.4,MLos Angeles1932B100M
M,100M Men,Paris,1924,G,Harold ABRAHAMS,GBR,10.6,100M,10.6,MParis1924G100M
M,100M Men,Paris,1924,S,Jackson SCHOLZ,USA,10.7,100M,10.7,MParis1924S100M
M,100M Men,Paris,1924,B,Arthur PORRITT,NZL,10.8,100M,10.8,MParis1924B100M
M,100M Men,Stockholm,1912,G,Ralph CRAIG,USA,10.8,100M,10.8,MStockholm1912G100M
M,100M Men,Stockholm,1912,S,Alvah MEYER,USA,10.9,100M,10.9,MStockholm1912S100M
M,100M Men,Stockholm,1912,B,Donald LIPPINCOTT,USA,10.9,100M,10.9,MStockholm1912B100M
M,100M Men,St Louis,1904,G,Archie HAHN,USA,11,100M,11,MSt Louis1904G100M
M,100M Men,St Louis,1904,S,Nate CARTMELL,USA,11.2,100M,11.2,MSt Louis1904S100M
M,100M Men,St Louis,1904,B,William HOGENSON,USA,11.2,100M,11.2,MSt Louis1904B100M
M,100M Men,Athens,1896,G,Thomas BURKE,USA,12,100M,12,MAthens1896G100M
M,100M Men,Athens,1896,S,Fritz HOFMANN,GER,12.2,100M,12.2,MAthens1896S100M
M,100M Men,Athens,1896,B,Alajos SZOKOLYI,HUN,12.6,100M,12.6,MAthens1896B100M
M,100M Men,Athens,1896,B,Francis LANE,USA,12.6,100M,12.6,MAthens1896B100M
M,110M Hurdles Men,Rio,2016,G,Omar MCLEOD,JAM,13.05,110M/100M Hurdles,13.05,MRio2016G110M/100M Hurdles
M,110M Hurdles Men,Rio,2016,S,Orlando ORTEGA,ESP,13.17,110M/100M Hurdles,13.17,MRio2016S110M/100M Hurdles
M,110M Hurdles Men,Rio,2016,B,Dimitri BASCOU,FRA,13.24,110M/100M Hurdles,13.24,MRio2016B110M/100M Hurdles
M,110M Hurdles Men,Beijing,2008,G,Dayron ROBLES,CUB,12.93,110M/100M Hurdles,12.93,MBeijing2008G110M/100M Hurdles
M,110M Hurdles Men,Beijing,2008,S,David PAYNE,USA,13.17,110M/100M Hurdles,13.17,MBeijing2008S110M/100M Hurdles
M,110M Hurdles Men,Beijing,2008,B,David OLIVER,USA,13.18,110M/100M Hurdles,13.18,MBeijing2008B110M/100M Hurdles
M,110M Hurdles Men,Sydney,2000,G,Anier GARCIA,CUB,13,110M/100M Hurdles,13,MSydney2000G110M/100M Hurdles
M,110M Hurdles Men,Sydney,2000,S,Terrence TRAMMELL,USA,13.16,110M/100M Hurdles,13.16,MSydney2000S110M/100M Hurdles
M,110M Hurdles Men,Sydney,2000,B,Mark CREAR,USA,13.22,110M/100M Hurdles,13.22,MSydney2000B110M/100M Hurdles
M,110M Hurdles Men,Barcelona,1992,G,Mark MCKOY,CAN,13.12,110M/100M Hurdles,13.12,MBarcelona1992G110M/100M Hurdles
M,110M Hurdles Men,Barcelona,1992,S,Tony DEES,USA,13.24,110M/100M Hurdles,13.24,MBarcelona1992S110M/100M Hurdles
M,110M Hurdles Men,Barcelona,1992,B,Jack PIERCE,USA,13.26,110M/100M Hurdles,13.26,MBarcelona1992B110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1984,G,Roger KINGDOM,USA,13.2,110M/100M Hurdles,13.2,MLos Angeles1984G110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1984,S,Greg FOSTER,USA,13.23,110M/100M Hurdles,13.23,MLos Angeles1984S110M/100M Hurdles
M,110M Hurdles Men,Los Angeles,1984,B,Arto BRYGGARE,FIN,13.4,110M/100M Hurdles,13.4,MLos Angeles1984B110M/100M Hurdles
